@relation 'StackOverflow: -C -15'
@attribute title string
@attribute java {0,1}
@attribute android {0,1}
@attribute javascript {0,1}
@attribute multithreading {0,1}
@attribute mysql {0,1}
@attribute swing {0,1}
@attribute excepton {0,1}
@attribute eclipse {0,1}
@attribute python {0,1}
@attribute django {0,1}
@attribute dictionary {0,1}
@attribute matplotlib {0,1}
@attribute numpy {0,1}
@attribute scala {0,1}
@attribute functional-programming {0,1}
@data
'Play framework auto javascript and CSS minifier',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Why does an image path no longer work once I compile my java files into a jar file',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'What do the parentheses mean when youre declaring/calling a property',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'How to force the caller of the class to catch exception',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'MVC 3 Wizard via JavaScript unsafe',1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
'session object returning null',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Why cant I observe meta+i/meta+b in Safari',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Ruby Savon compared to Java Axis',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
'How to create a block transition in jQuery',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Java 2Dimensional Boolean Array Values',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'What is backend and frontend programming',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'I need help with this error: java.lang.NoSuchMethodError',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Is it possible to display an image in text field in html',1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
'Java: how to resize an image on the gpu',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Dojo Reload Grid Data Using a JsonRestStore',1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
'How can I generate class diagrams from Java code that can be used to create new sequence diagrams',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Java code PMD Complains about Cyclomatic Complexity  of 20',1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Android : changing Locale within the app itself does not affect the first run',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
'Javascript parser generator',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'jQuery .show .fadeIn not visible with IE7',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'Android client socket. UnknowHostException',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'What does function() { get: function() {  } } in JavaScript mean',1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
'Java decompiled code meaning',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Unassigned chars in the ascii spectrum',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Custom View Scrolling issues Android',1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
'JasperReports using EJB: Cannot find the class file for net.sf.jasperreports.engine.JasperPrint',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Breakpoint at exception in Eclipse - how to examine Exception object',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'How to figure out all colors in a gradient',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'cyclical generics (try 2)',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Testng marked a test as success when it should fail',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'Detecting drawn shapes in Canvas+Javascript',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'When calling a Javascript function how do I set a custom value of this',1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
'In Java how do I wait for all tasks but halt on first error',1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
